"Pop","Days","Flowers"
"ONTI",16,3.2
"ONTI",17,1.6
"ONTI",18,0
"ONTI",19,175.8
"ONTI",20,351.6
"ONTI",21,527.4
"ONTI",22,703.2
"ONTI",23,879
"ONTI",24,734.2
"ONTI",25,589.4
"ONTI",26,444.6
"ONTI",27,299.8
"ONTI",28,155
"ONTI",29,221.8
"ONTI",30,288.6
"ONTI",31,355.4
"ONTI",32,422.2
"ONTI",33,489
"ONTI",34,488.4
"ONTI",35,487.8
"ONTI",36,487.2
"ONTI",37,486.6
"ONTI",38,486
"ONTI",39,388.8
"ONTI",40,291.6
"ONTI",41,194.4
"ONTI",42,97.2
"ONTI",43,0
"ONTI",44,47.8
"ONTI",45,95.6
"ONTI",46,143.4
"ONTI",47,191.2
"ONTI",48,239
"ONTI",49,251
"ONTI",50,263
"ONTI",51,275
"ONTI",52,287
"ONTI",53,299
"ONTI",54,245.6
"ONTI",55,192.2
"ONTI",56,138.8
"ONTI",57,85.4
"ONTI",58,32
"ONTI",59,25.6
"ONTI",60,19.2
"ONTI",61,12.8
"ONTI",62,6.4
"ONTI",63,0
"ONTI",64,0
"ONTI",65,0
"ONTI",66,0
"ONTI",67,0
"ONTI",68,0
"ONTI",69,0
"ONTI",70,0
"ONTI",71,0
"ONTI",72,0
"ONTI",73,0
"ONTI",74,0
"ONTI",75,0
"ONTI",76,0
"ONTI",77,0
"ONTI",78,0
"ONTI",79,0
"ONTI",80,0
"ONTI",81,0
"ONTI",82,0
"ONTI",83,0
"ONTI",84,0
"ONTI",85,0
"ONTI",86,0
"ONTI",87,0
"ONTI",88,0
"ONTI",89,0
"ONTI",90,0
"ONTI",91,0
"ONTI",92,0
"ONTI",93,0
"ONTI",94,0
"ONTI",95,0
"ONTI",96,0
"ONTI",97,0
"ONTI",98,0
"ONTI",99,0
"ONTI",100,0
"ONTI",101,0
"ONTI",102,0
"ONTI",103,0
"ONTI",104,0
"ONTI",105,0
"ONTI",106,0
"ONTI",107,0
"ONTI",108,0
"ONTI",109,0
"ONTI",110,0
"ONTI",111,0
"ONTI",112,0
"ONTI",113,0
"ONTI",114,0
"ONTI",115,0
"ONTI",116,0
"ONTI",117,0
"ONTI",118,0
"ONTI",119,0
"ONTI",120,0
"ONTI",121,0
"ONTI",122,0
"ONTI",123,0
"ONTI",124,0
"ONTI",125,0
"MDDB",0,0
"MDDB",1,0.615384615384615
"MDDB",2,1.23076923076923
"MDDB",3,1.84615384615385
"MDDB",4,2.46153846153846
"MDDB",5,3.07692307692308
"MDDB",6,3.69230769230769
"MDDB",7,4.30769230769231
"MDDB",8,4.92307692307692
"MDDB",9,5.53846153846154
"MDDB",10,6.15384615384615
"MDDB",11,6.76923076923077
"MDDB",12,7.38461538461539
"MDDB",13,8
"MDDB",14,6.4
"MDDB",15,4.8
"MDDB",16,3.2
"MDDB",17,1.6
"MDDB",18,0
"MDDB",19,175.8
"MDDB",20,351.6
"MDDB",21,527.4
"MDDB",22,703.2
"MDDB",23,879
"MDDB",24,734.2
"MDDB",25,589.4
"MDDB",26,444.6
"MDDB",27,299.8
"MDDB",28,155
"MDDB",29,221.8
"MDDB",30,288.6
"MDDB",31,355.4
"MDDB",32,422.2
"MDDB",33,489
"MDDB",34,488.4
"MDDB",35,487.8
"MDDB",36,487.2
"MDDB",37,486.6
"MDDB",38,486
"MDDB",39,388.8
"MDDB",40,291.6
"MDDB",41,194.4
"MDDB",42,97.2
"MDDB",43,0
"MDDB",44,47.8
"MDDB",45,95.6
"MDDB",46,143.4
"MDDB",47,191.2
"MDDB",48,239
"MDDB",49,251
"MDDB",50,263
"MDDB",51,275
"MDDB",52,287
"MDDB",53,299
"MDDB",54,245.6
"MDDB",55,192.2
"MDDB",56,138.8
"MDDB",57,85.4
"MDDB",58,32
"MDDB",59,25.6
"MDDB",60,19.2
"MDDB",61,12.8
"MDDB",62,6.4
"MDDB",63,0
"MDDB",64,0
"MDDB",65,0
"MDDB",66,0
"MDDB",67,0
"MDDB",68,0
"MDDB",69,0
"MDDB",70,0
"MDDB",71,0
"MDDB",72,0
"MDDB",73,0
"MDDB",74,0
"MDDB",75,0
"MDDB",76,0
"MDDB",77,0
"MDDB",78,0
"MDDB",79,0
"MDDB",80,0
"MDDB",81,0
"MDDB",82,0
"MDDB",83,0
"MDDB",84,0
"MDDB",85,0
"MDDB",86,0
"MDDB",87,0
