Num,Row,Fam,Pop,Lat,Start,End,Duration,Veg,PC1,HinfW,TotFlwr,d0,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60
423,4c,G20,ONPG,44.5948889,11,54,43,98,-1.0386197,3.69,697,20,59,93,99,115,75,87,89,60,0,0,0,0
424,4c,J4,NYLV,43.6971944,8,73,65,106,-0.9835921,3.61,603,4,86,0,104,133,113,96,59,0,8,0,0,0
425,4c,L19,NYSC,42.5230556,30,75,45,140,1.31730195,47.75,3055,1,0,13,61,391,1078,981,517,13,0,0,0,0
427,4c,L19,NYSC,42.5230556,14,63,49,98,-0.8601713,0.52,26,3,0,0,1,2,4,5,3,5,3,0,0,0
428,4c,J1,NYLV,43.6971944,32,66,34,157,1.93240391,75.84,3192,4,0,428,680,1192,855,33,0,0,0,0,0,0
430,4d,A19,ONTI,48.4789167,18,63,45,126,0.19492562,18.39,2098,2,39,82,193,485,684,378,223,12,0,0,0,0
431,4d,M10,NYCH,42.2382222,24,63,39,126,0.55182233,45.92,2140,2,20,52,0,567,520,781,198,0,0,0,0,0
432,4d,G5,ONPG,44.5948889,13,63,50,122,-0.2192263,19.04,2875,3,36,4,105,195,1160,960,0,380,32,0,0,0
434,4d,M1,NYCH,42.2382222,24,73,49,144,1.07714321,53.07,3430,4,36,101,0,476,820,1044,838,100,11,0,0,0
436,4d,P2,NJHP,41.3128333,37,NA,NA,155,2.17144885,41.71,1,1,0,0,0,0,0,0,0,0,0,0,0,0
440,4d,A9,ONTI,48.4789167,NA,51,NA,119,NA,7.93,236,2,6,11,16,21,26,31,36,41,46,0,0,0
